indicator,year,Kenya,Nigeria,South Africa
Current health expenditure (% of GDP),2022,4.32603645,4.27090406,8.77086639
Current health expenditure per capita (current US$),2022,90.43982697,90.92185211,569.84075928
Domestic general government health expenditure (% of current health expenditure),2022,46.73620987,14.50264072,61.6247406
Domestic private health expenditure (% of current health expenditure),2022,34.90715408,78.73551178,36.47233582
"Hospital beds (per 1,000 people)",2019,1.33,NA,NA
"Hospital beds (per 1,000 people)",2010,NA,NA,2.28
"Life expectancy at birth, female (years)",2023,65.92,54.743,69.599
"Life expectancy at birth, male (years)",2023,61.459,54.176,62.609
"Life expectancy at birth, total (years)",2023,63.646,54.462,66.139
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2023,149,993,118
"Mortality rate, under-5 (per 1,000)",2023,39.9,104.9,34.7
Out-of-pocket expenditure (% of current health expenditure),2022,24.20874977,76.12967682,6.71138716
"Physicians (per 1,000 people)",2022,0.102,0.394,NA
"Physicians (per 1,000 people)",2021,NA,NA,0.809
