country,Country Code,indicator,code,year,value
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2010,108.691
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2011,104.615
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2012,100.219
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2013,95.576
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2014,89.953
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2015,81.864
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2016,73.781
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2017,68.182
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2018,66.659
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2019,63.656
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2020,59.38
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2021,59.513
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2022,57.272
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2023,56.313
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2010,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2011,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2012,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2013,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2014,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2015,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2016,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2017,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2018,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2019,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2020,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2021,1400000
Kenya,KEN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,2022,1400000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2010,70000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2011,62000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2012,60000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2013,57000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2014,51000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2015,42000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2016,37000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2017,34000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2018,29000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2019,28000
Kenya,KEN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2020,28000
